Pre,Actual
0.9301,1.0
0.9256,1.0
0.9317,1.0
0.9251,1.0
0.9267,1.0
0.9234,1.0
0.9288,1.0
0.935,1.0
0.7671,1.0
0.9061,1.0
0.918,1.0
0.88,1.0
0.921,1.0
0.9112,1.0
0.8894,1.0
0.921,1.0
0.9043,1.0
0.917,1.0
0.917,1.0
0.9122,1.0
0.9158,1.0
0.9129,1.0
0.9203,1.0
0.918,1.0
0.9126,1.0
0.9021,1.0
0.9126,1.0
0.9239,1.0
0.9024,1.0
0.9066,1.0
0.9125,1.0
0.905,1.0
0.9106,1.0
0.9156,1.0
0.902,1.0
0.9024,1.0
0.9199,1.0
0.9177,1.0
0.894,1.0
0.8086,1.0
0.8628,1.0
0.9013,1.0
0.9095,1.0
0.9109,1.0
0.9092,1.0
0.8945,1.0
0.9004,1.0
0.9173,1.0
0.9108,1.0
0.909,1.0
0.8973,1.0
0.9139,1.0
0.8935,1.0
0.8955,1.0
0.8918,1.0
0.8974,1.0
0.9043,1.0
0.9143,1.0
0.9049,1.0
0.9099,1.0
0.9083,1.0
0.9077,1.0
0.8696,1.0
0.9072,1.0
0.8874,1.0
0.9045,1.0
0.9171,1.0
0.9071,1.0
0.914,1.0
0.9258,1.0
0.9098,1.0
0.9211,1.0
0.9075,1.0
0.914,1.0
0.9178,1.0
0.9116,1.0
0.9188,1.0
0.9219,1.0
0.9054,1.0
0.8964,1.0
0.9134,1.0
0.8921,1.0
0.8902,1.0
0.8894,1.0
0.8992,1.0
0.9007,1.0
0.874,1.0
0.8861,1.0
0.8461,1.0
0.9124,1.0
0.9048,1.0
0.8922,1.0
0.8808,1.0
0.9032,1.0
0.8739,1.0
0.9001,1.0
0.8953,1.0
0.8878,1.0
0.89,1.0
0.9084,1.0
0.9138,1.0
0.896,1.0
0.9023,1.0
0.9078,1.0
0.909,1.0
0.9069,1.0
0.9127,1.0
0.8962,1.0
0.9122,1.0
0.8871,1.0
0.8806,1.0
0.8997,1.0
0.8568,1.0
0.8917,1.0
0.8371,1.0
0.8924,1.0
0.8716,1.0
0.8896,1.0
0.8587,1.0
0.8564,1.0
0.8647,1.0
0.8637,1.0
0.8317,1.0
0.8879,1.0
0.8856,1.0
0.8834,1.0
0.9019,1.0
0.8882,1.0
0.8952,1.0
0.9026,1.0
0.9026,1.0
0.9022,1.0
0.8831,1.0
0.8965,1.0
0.8934,1.0
0.8692,1.0
0.863,1.0
0.849,1.0
0.8847,1.0
0.8873,1.0
0.9013,1.0
0.8487,1.0
0.8808,1.0
0.896,1.0
0.8956,1.0
0.868,1.0
0.873,1.0
0.8628,1.0
0.8303,1.0
0.8796,1.0
0.8659,1.0
0.8937,1.0
0.8441,1.0
0.8755,1.0
0.8695,1.0
0.8816,1.0
0.8877,1.0
0.8767,1.0
0.8965,1.0
0.8943,1.0
0.9036,1.0
0.884,1.0
0.901,1.0
0.8701,1.0
0.8795,1.0
0.862,1.0
0.8802,1.0
0.8806,1.0
0.8764,1.0
0.8811,1.0
0.8879,1.0
0.8981,1.0
0.8875,1.0
0.838,1.0
0.8776,1.0
0.8631,1.0
0.8925,1.0
0.8539,1.0
0.8454,1.0
0.8124,0.99955
0.8516,0.99911
0.8346,0.99866
0.8902,0.99822
0.8799,0.99777
0.8977,0.99732
0.888,0.99688
0.8956,0.99643
0.891,0.99599
0.8768,0.99554
0.8936,0.99509
0.8847,0.99465
0.8848,0.9942
0.8905,0.99376
0.8697,0.99331
0.8608,0.99286
0.8587,0.99242
0.8788,0.99197
0.8832,0.99153
0.8883,0.99108
0.8849,0.99063
0.8547,0.99019
0.8357,0.98974
0.8788,0.9893
0.9083,0.98885
0.8796,0.9884
0.8846,0.98796
0.8893,0.98751
0.8723,0.98707
0.8643,0.98662
0.8373,0.98617
0.876,0.98573
0.8853,0.98528
0.8976,0.98484
0.879,0.98439
0.8807,0.98394
0.8452,0.9835
0.8868,0.98305
0.8882,0.9826
0.8894,0.98216
0.8478,0.98171
0.8605,0.98127
0.8299,0.98082
0.8688,0.98037
0.8601,0.97993
0.8923,0.97948
0.8353,0.97904
0.8731,0.97859
0.8877,0.97814
0.8662,0.9777
0.8805,0.97725
0.8485,0.97681
0.8681,0.97636
0.869,0.97591
0.8618,0.97547
0.8677,0.97502
0.8876,0.97458
0.862,0.97413
0.8428,0.97368
0.8678,0.97324
0.8593,0.97279
0.8648,0.97235
0.8625,0.9719
0.8488,0.97145
0.8791,0.97101
0.8783,0.97056
0.8598,0.97012
0.8076,0.96967
0.7953,0.96922
0.823,0.96878
0.8193,0.96833
0.8111,0.96789
0.83,0.96744
0.8576,0.96699
0.8884,0.96655
0.8485,0.9661
0.8505,0.96566
0.8149,0.96521
0.8146,0.96476
0.8342,0.96432
0.8121,0.96387
0.8037,0.96343
0.8304,0.96298
0.8305,0.96253
0.8317,0.96209
0.8397,0.96164
0.8427,0.9612
0.8332,0.96075
0.8604,0.9603
0.8544,0.95986
0.8264,0.95941
0.8264,0.95897
0.7611,0.95852
0.7859,0.95807
0.7728,0.95763
0.7936,0.95718
0.7824,0.95674
0.6979,0.95629
0.7807,0.95584
0.861,0.9554
0.8571,0.95495
0.791,0.9545
0.7746,0.95406
0.8447,0.95361
0.7864,0.95317
0.7988,0.95272
0.8349,0.95227
0.797,0.95183
0.792,0.95138
0.8511,0.95094
0.8685,0.95049
0.8307,0.95004
0.8735,0.9496
0.8534,0.94915
0.8157,0.94871
0.8474,0.94826
0.8002,0.94781
0.8184,0.94737
0.8047,0.94692
0.838,0.94648
0.8236,0.94603
0.8245,0.94558
0.8168,0.94514
0.7999,0.94469
0.7645,0.94425
0.7676,0.9438
0.7855,0.94335
0.7937,0.94291
0.8014,0.94246
0.8632,0.94202
0.8278,0.94157
0.8448,0.94112
0.8518,0.94068
0.8379,0.94023
0.8547,0.93979
0.8458,0.93934
0.8431,0.93889
0.8593,0.93845
0.8261,0.938
0.8374,0.93756
0.8216,0.93711
0.8448,0.93666
0.8504,0.93622
0.7968,0.93577
0.8063,0.93533
0.8134,0.93488
0.7891,0.93443
0.8006,0.93399
0.8213,0.93354
0.7924,0.9331
0.753,0.93265
0.7988,0.9322
0.807,0.93176
0.8431,0.93131
0.7821,0.93087
0.8091,0.93042
0.8277,0.92997
0.7935,0.92953
0.7667,0.92908
0.7988,0.92864
0.7897,0.92819
0.7914,0.92774
0.8437,0.9273
0.8042,0.92685
0.7792,0.9264
0.7603,0.92596
0.8221,0.92551
0.7656,0.92507
0.7656,0.92462
0.7627,0.92417
0.8158,0.92373
0.7907,0.92328
0.8202,0.92284
0.8169,0.92239
0.7892,0.92194
0.7692,0.9215
0.8743,0.92105
0.8174,0.92061
0.8364,0.92016
0.7923,0.91971
0.8599,0.91927
0.8421,0.91882
0.8519,0.91838
0.8072,0.91793
0.8246,0.91748
0.813,0.91704
0.8473,0.91659
0.8743,0.91615
0.8917,0.9157
0.836,0.91525
0.8338,0.91481
0.781,0.91436
0.7747,0.91392
0.7827,0.91347
0.7891,0.91302
0.8447,0.91258
0.7694,0.91213
0.7884,0.91169
0.8112,0.91124
0.8332,0.91079
0.8459,0.91035
0.8137,0.9099
0.8488,0.90946
0.8256,0.90901
0.8286,0.90856
0.8087,0.90812
0.7816,0.90767
0.7647,0.90723
0.801,0.90678
0.8056,0.90633
0.8062,0.90589
0.7793,0.90544
0.8074,0.905
0.8279,0.90455
0.7728,0.9041
0.8325,0.90366
0.7923,0.90321
0.8024,0.90277
0.7665,0.90232
0.7698,0.90187
0.7441,0.90143
0.7345,0.90098
0.7383,0.90054
0.7529,0.90009
0.7378,0.89964
0.7933,0.8992
0.8512,0.89875
0.7809,0.89831
0.7757,0.89786
0.7753,0.89741
0.7541,0.89697
0.7252,0.89652
0.6883,0.89607
0.681,0.89563
0.7059,0.89518
0.7563,0.89474
0.7631,0.89429
0.8441,0.89384
0.7816,0.8934
0.7851,0.89295
0.8253,0.89251
0.7769,0.89206
0.8187,0.89161
0.7502,0.89117
0.8344,0.89072
0.7938,0.89028
0.811,0.88983
0.783,0.88938
0.7272,0.88894
0.7548,0.88849
0.7472,0.88805
0.7306,0.8876
0.7891,0.88715
0.742,0.88671
0.7908,0.88626
0.7581,0.88582
0.7773,0.88537
0.7754,0.88492
0.7473,0.88448
0.7345,0.88403
0.7483,0.88359
0.7625,0.88314
0.7649,0.88269
0.7817,0.88225
0.7498,0.8818
0.7561,0.88136
0.7288,0.88091
0.734,0.88046
0.7232,0.88002
0.7446,0.87957
0.7445,0.87913
0.7442,0.87868
0.7578,0.87823
0.7631,0.87779
0.7674,0.87734
0.7917,0.8769
0.7809,0.87645
0.7503,0.876
0.745,0.87556
0.7317,0.87511
0.7367,0.87467
0.7419,0.87422
0.7494,0.87377
0.7897,0.87333
0.7709,0.87288
0.7449,0.87244
0.7336,0.87199
0.7134,0.87154
0.7308,0.8711
0.7232,0.87065
0.7357,0.87021
0.7271,0.86976
0.734,0.86931
0.6985,0.86887
0.7016,0.86842
0.7414,0.86798
0.7412,0.86753
0.7533,0.86708
0.7595,0.86664
0.7404,0.86619
0.7208,0.86574
0.7515,0.8653
0.7464,0.86485
0.7549,0.86441
0.7563,0.86396
0.7809,0.86351
0.7689,0.86307
0.7503,0.86262
0.7726,0.86218
0.7703,0.86173
0.7854,0.86128
0.7407,0.86084
0.7282,0.86039
0.7126,0.85995
0.7438,0.8595
0.7315,0.85905
0.7144,0.85861
0.7053,0.85816
0.729,0.85772
0.7263,0.85727
0.7294,0.85682
0.7227,0.85638
0.7343,0.85593
0.7314,0.85549
0.7516,0.85504
0.7343,0.85459
0.7199,0.85415
0.7371,0.8537
0.7593,0.85326
0.764,0.85281
0.7487,0.85236
0.7181,0.85192
0.7402,0.85147
0.7294,0.85103
0.7456,0.85058
0.7478,0.85013
0.7379,0.84969
0.7276,0.84924
0.7243,0.8488
0.7121,0.84835
0.7247,0.8479
0.7183,0.84746
0.714,0.84701
0.7056,0.84657
0.7116,0.84612
0.7025,0.84567
0.702,0.84523
0.7071,0.84478
0.6977,0.84434
0.7163,0.84389
0.7,0.84344
0.7069,0.843
0.7477,0.84255
0.743,0.84211
0.7083,0.84166
0.7085,0.84121
0.7133,0.84077
0.7198,0.84032
0.6958,0.83988
0.7112,0.83943
0.6981,0.83898
0.6813,0.83854
0.7144,0.83809
0.7168,0.83764
0.7107,0.8372
0.6978,0.83675
0.7009,0.83631
0.6906,0.83586
0.6748,0.83541
0.6954,0.83497
0.7311,0.83452
0.7128,0.83408
0.7206,0.83363
0.7148,0.83318
0.7196,0.83274
0.7162,0.83229
0.7278,0.83185
0.7116,0.8314
0.7093,0.83095
0.7126,0.83051
0.6767,0.83006
0.6783,0.82962
0.7174,0.82917
0.6988,0.82872
0.6975,0.82828
0.693,0.82783
0.6981,0.82739
0.7259,0.82694
0.7262,0.82649
0.6999,0.82605
0.6994,0.8256
0.6958,0.82516
0.7076,0.82471
0.73,0.82426
0.7371,0.82382
0.7294,0.82337
0.6948,0.82293
0.7019,0.82248
0.7033,0.82203
0.7149,0.82159
0.7088,0.82114
0.6957,0.8207
0.698,0.82025
0.6905,0.8198
0.7,0.81936
0.6865,0.81891
0.668,0.81847
0.6728,0.81802
0.6622,0.81757
0.6753,0.81713
0.6686,0.81668
0.6647,0.81624
0.6422,0.81579
0.6687,0.81534
0.652,0.8149
0.6624,0.81445
0.6545,0.81401
0.7016,0.81356
0.6813,0.81311
0.7038,0.81267
0.6686,0.81222
0.6693,0.81178
0.6771,0.81133
0.6744,0.81088
0.6881,0.81044
0.6829,0.80999
0.6951,0.80955
0.6785,0.8091
0.7075,0.80865
0.6861,0.80821
0.7071,0.80776
0.6765,0.80731
0.6656,0.80687
0.6531,0.80642
0.6777,0.80598
0.6549,0.80553
0.6772,0.80508
0.6722,0.80464
0.6737,0.80419
0.6612,0.80375
0.6908,0.8033
0.6613,0.80285
0.684,0.80241
0.6673,0.80196
0.6719,0.80152
0.6572,0.80107
0.6737,0.80062
0.6358,0.80018
0.6578,0.79973
0.647,0.79929
0.6715,0.79884
0.7089,0.79839
0.7135,0.79795
0.6875,0.7975
0.6745,0.79706
0.6954,0.79661
0.7267,0.79616
0.7066,0.79572
0.6999,0.79527
0.6985,0.79483
0.7012,0.79438
0.6912,0.79393
0.6643,0.79349
0.6694,0.79304
0.6816,0.7926
0.6743,0.79215
0.7115,0.7917
0.7173,0.79126
0.7023,0.79081
0.7701,0.79037
0.7001,0.78992
0.7194,0.78947
0.6905,0.78903
0.7204,0.78858
0.7113,0.78814
0.7066,0.78769
0.7314,0.78724
0.7268,0.7868
0.7444,0.78635
0.7234,0.78591
0.7251,0.78546
0.7528,0.78501
0.7299,0.78457
0.7269,0.78412
0.7369,0.78368
0.7284,0.78323
0.7168,0.78278
0.7021,0.78234
0.7062,0.78189
0.7146,0.78145
0.7428,0.781
0.6967,0.78055
0.6993,0.78011
0.7209,0.77966
0.7023,0.77922
0.6966,0.77877
0.6865,0.77832
0.682,0.77788
0.6747,0.77743
0.6896,0.77698
0.692,0.77654
0.7093,0.77609
0.6923,0.77565
0.6977,0.7752
0.7102,0.77475
0.7123,0.77431
0.7015,0.77386
0.6966,0.77342
0.6951,0.77297
0.7001,0.77252
0.6806,0.77208
0.6936,0.77163
0.7215,0.77119
0.6885,0.77074
0.699,0.77029
0.7037,0.76985
0.7152,0.7694
0.715,0.76896
0.706,0.76851
0.7369,0.76806
0.692,0.76762
0.6992,0.76717
0.7013,0.76673
0.7142,0.76628
0.6983,0.76583
0.6739,0.76539
0.6805,0.76494
0.676,0.7645
0.6985,0.76405
0.6962,0.7636
0.7315,0.76316
0.742,0.76271
0.6985,0.76227
0.6948,0.76182
0.7379,0.76137
0.7248,0.76093
0.7192,0.76048
0.7207,0.76004
0.7313,0.75959
0.6993,0.75914
0.6945,0.7587
0.6815,0.75825
0.6739,0.75781
0.6726,0.75736
0.6648,0.75691
0.7029,0.75647
0.6888,0.75602
0.7003,0.75558
0.7022,0.75513
0.6857,0.75468
0.6845,0.75424
0.679,0.75379
0.6841,0.75335
0.6893,0.7529
0.6703,0.75245
0.6823,0.75201
0.6987,0.75156
0.6799,0.75112
0.6974,0.75067
0.674,0.75022
0.7038,0.74978
0.6716,0.74933
0.683,0.74888
0.6822,0.74844
0.6718,0.74799
0.6682,0.74755
0.6728,0.7471
0.6544,0.74665
0.6678,0.74621
0.6657,0.74576
0.6774,0.74532
0.6571,0.74487
0.6703,0.74442
0.6554,0.74398
0.6604,0.74353
0.6477,0.74309
0.6282,0.74264
0.6447,0.74219
0.6393,0.74175
0.6483,0.7413
0.6345,0.74086
0.6174,0.74041
0.6438,0.73996
0.6407,0.73952
0.6099,0.73907
0.6344,0.73863
0.6297,0.73818
0.6493,0.73773
0.6312,0.73729
0.6381,0.73684
0.6526,0.7364
0.6273,0.73595
0.6273,0.7355
0.6386,0.73506
0.6337,0.73461
0.6523,0.73417
0.6432,0.73372
0.6518,0.73327
0.6231,0.73283
0.6562,0.73238
0.662,0.73194
0.6537,0.73149
0.6697,0.73104
0.646,0.7306
0.6371,0.73015
0.6616,0.72971
0.6296,0.72926
0.6376,0.72881
0.6237,0.72837
0.6278,0.72792
0.641,0.72748
0.6536,0.72703
0.6358,0.72658
0.6338,0.72614
0.6246,0.72569
0.6387,0.72525
0.6402,0.7248
0.6429,0.72435
0.6666,0.72391
0.6432,0.72346
0.644,0.72302
0.6238,0.72257
0.635,0.72212
0.6314,0.72168
0.6306,0.72123
0.6438,0.72078
0.6461,0.72034
0.6676,0.71989
0.6493,0.71945
0.6621,0.719
0.6459,0.71855
0.6168,0.71811
0.6606,0.71766
0.6396,0.71722
0.6237,0.71677
0.6518,0.71632
0.6577,0.71588
0.6399,0.71543
0.6358,0.71499
0.6402,0.71454
0.6336,0.71409
0.6458,0.71365
0.662,0.7132
0.6722,0.71276
0.6559,0.71231
0.6637,0.71186
0.6583,0.71142
0.6493,0.71097
0.6446,0.71053
0.6457,0.71008
0.6154,0.70963
0.6351,0.70919
0.643,0.70874
0.6498,0.7083
0.6399,0.70785
0.6512,0.7074
0.6393,0.70696
0.6403,0.70651
0.6427,0.70607
0.6578,0.70562
0.6489,0.70517
0.6707,0.70473
0.6653,0.70428
0.6381,0.70384
0.61,0.70339
0.6462,0.70294
0.6278,0.7025
0.6394,0.70205
0.6389,0.70161
0.6392,0.70116
0.6546,0.70071
0.6332,0.70027
0.6524,0.69982
0.6644,0.69938
0.6352,0.69893
0.6382,0.69848
0.6452,0.69804
0.6741,0.69759
0.6606,0.69715
0.6569,0.6967
0.6474,0.69625
0.6487,0.69581
0.6291,0.69536
0.6578,0.69492
0.642,0.69447
0.6356,0.69402
0.645,0.69358
0.6277,0.69313
0.617,0.69269
0.6078,0.69224
0.6025,0.69179
0.6108,0.69135
0.6003,0.6909
0.5959,0.69045
0.6432,0.69001
0.6382,0.68956
0.6252,0.68912
0.6186,0.68867
0.6122,0.68822
0.5962,0.68778
0.6254,0.68733
0.6326,0.68689
0.6247,0.68644
0.6056,0.68599
0.628,0.68555
0.6335,0.6851
0.6455,0.68466
0.6383,0.68421
0.6516,0.68376
0.6442,0.68332
0.6342,0.68287
0.6091,0.68243
0.6177,0.68198
0.6475,0.68153
0.6195,0.68109
0.6331,0.68064
0.6677,0.6802
0.6304,0.67975
0.6384,0.6793
0.6291,0.67886
0.6357,0.67841
0.6334,0.67797
0.6436,0.67752
0.6237,0.67707
0.6195,0.67663
0.6067,0.67618
0.6128,0.67574
0.623,0.67529
0.601,0.67484
0.6367,0.6744
0.6404,0.67395
0.6197,0.67351
0.6166,0.67306
0.6363,0.67261
0.6169,0.67217
0.6402,0.67172
0.622,0.67128
0.6591,0.67083
0.6812,0.67038
0.6522,0.66994
0.641,0.66949
0.6276,0.66905
0.6048,0.6686
0.6026,0.66815
0.6256,0.66771
0.6263,0.66726
0.6378,0.66682
0.6336,0.66637
0.621,0.66592
0.6134,0.66548
0.6263,0.66503
0.6033,0.66459
0.6457,0.66414
0.6238,0.66369
0.6282,0.66325
0.6318,0.6628
0.6318,0.66236
0.6128,0.66191
0.6396,0.66146
0.6482,0.66102
0.6359,0.66057
0.6263,0.66012
0.6184,0.65968
0.5929,0.65923
0.5909,0.65879
0.6011,0.65834
0.6325,0.65789
0.6592,0.65745
0.6361,0.657
0.6299,0.65656
0.6358,0.65611
0.6245,0.65566
0.6308,0.65522
0.6428,0.65477
0.6448,0.65433
0.6376,0.65388
0.5912,0.65343
0.6022,0.65299
0.6154,0.65254
0.61,0.6521
0.5954,0.65165
0.6074,0.6512
0.6248,0.65076
0.6058,0.65031
0.6287,0.64987
0.6157,0.64942
0.6379,0.64897
0.6236,0.64853
0.6138,0.64808
0.5997,0.64764
0.6188,0.64719
0.6319,0.64674
0.6304,0.6463
0.6098,0.64585
0.6166,0.64541
0.6047,0.64496
0.6111,0.64451
0.6205,0.64407
0.6026,0.64362
0.6104,0.64318
0.6116,0.64273
0.5841,0.64228
0.5891,0.64184
0.5657,0.64139
0.5751,0.64095
0.5803,0.6405
0.6022,0.64005
0.6067,0.63961
0.5874,0.63916
0.5884,0.63872
0.5856,0.63827
0.6126,0.63782
0.591,0.63738
0.577,0.63693
0.5764,0.63649
0.563,0.63604
0.5377,0.63559
0.5522,0.63515
0.5518,0.6347
0.5798,0.63426
0.5762,0.63381
0.6115,0.63336
0.5792,0.63292
0.5778,0.63247
0.5879,0.63202
0.5764,0.63158
0.5448,0.63113
0.5438,0.63069
0.5458,0.63024
0.5765,0.62979
0.5759,0.62935
0.5731,0.6289
0.5822,0.62846
0.58,0.62801
0.5715,0.62756
0.5869,0.62712
0.6004,0.62667
0.5954,0.62623
0.5711,0.62578
0.5672,0.62533
0.545,0.62489
0.5278,0.62444
0.5519,0.624
0.5532,0.62355
0.5445,0.6231
0.5443,0.62266
0.5468,0.62221
0.5474,0.62177
0.533,0.62132
0.5439,0.62087
0.5388,0.62043
0.5356,0.61998
0.5554,0.61954
0.5338,0.61909
0.5195,0.61864
0.5193,0.6182
0.5144,0.61775
0.55,0.61731
0.5443,0.61686
0.5408,0.61641
0.544,0.61597
0.4211,0.61552
0.5173,0.61508
0.5434,0.61463
0.5455,0.61418
0.5341,0.61374
0.527,0.61329
0.5049,0.61285
0.544,0.6124
0.5368,0.61195
0.5271,0.61151
0.5333,0.61106
0.5162,0.61062
0.5218,0.61017
0.5136,0.60972
0.5307,0.60928
0.5247,0.60883
0.5418,0.60839
0.5301,0.60794
0.4937,0.60749
0.4986,0.60705
0.5214,0.6066
0.5328,0.60616
0.5327,0.60571
0.5433,0.60526
0.5411,0.60482
0.516,0.60437
0.5361,0.60393
0.53,0.60348
0.5273,0.60303
0.5317,0.60259
0.529,0.60214
0.5217,0.60169
0.518,0.60125
0.5276,0.6008
0.5334,0.60036
0.5369,0.59991
0.5348,0.59946
0.5182,0.59902
0.5118,0.59857
0.4887,0.59813
0.5001,0.59768
0.4999,0.59723
0.4859,0.59679
0.4716,0.59634
0.4942,0.5959
0.4922,0.59545
0.5164,0.595
0.5159,0.59456
0.5228,0.59411
